appid,name,release_date,english,publisher,required_age,genres,price,about_the_game,header_image,backgroundURL,minimum
10,Counter-Strike32222,2000-11-01,1,Valve,0,Action,7.19,"Play the world's number 1 online FPS Shooting game",https://steamcdn-a.akamaihd.net/steam/apps/10/header.jpg?t=1528733245,https://steamcdn-a.akamaihd.net/steam/apps/10/page_bg_generated_v6b.jpg?t=1528733245,500 mhz processor; 96mb ram
20,Team Fortress Classic2222,1999-04-01,1,Valve,0,Action,3.99,Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man in a variety of game play modes.",https://steamcdn-a.akamaihd.net/steam/apps/20/header.jpg?t=1528732825,https://steamcdn-a.akamaihd.net/steam/apps/20/page_bg_generated_v6b.jpg?t=1528732825,"500 mhz processor, 96mb ram, 16mb video card, Windows XP, Mouse, Keyboard, Internet Connection Recommended: 800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection"
2620,Call of Duty® 323,2006-10-13,1,Activision,0,Action,14.99,Call of Duty® delivers the gritty realism and cinematic intensity of World War II's epic battlefield moments like never before ,https://steamcdn-a.akamaihd.net/steam/apps/2620/header.jpg?t=1450407165,https://steamcdn-a.akamaihd.net/steam/apps/2620/page_bg_generated_v6b.jpg?t=1450407165,3D hardware accelerator card required - 100% DirectX 9.0c compatible 64MB hardware accelerator video card and the latest drivers*
2630,Call of Duty® 223,2006-10-13,1,Activision;Aspyr (Mac),0,Action,14.99,Call of Duty® 2 redefines the cinematic intensity and chaos of battle as seen through the eyes of ordinary soldiers fighting together in epic WWII conflicts.,https://steamcdn-a.akamaihd.net/steam/apps/2630/header.jpg?t=1545234877,https://steamcdn-a.akamaihd.net/steam/apps/2630/page_bg_generated_v6b.jpg?t=1545234877,Full Version of original Call of Duty 3D hardware accelerator card required - 100% DirectX 9.0c compatible 32MB hardware T&amp;L-capable video card and the latest drivers*
550,Left 4 Dead 22,2009-11-19,1,Valve,0,Action,7.19,This co-operative action horror FPS takes you and your friends through the cities swamps and cemeteries of the Deep South from Savannah to New Orleans across five expansive campaigns.,https://steamcdn-a.akamaihd.net/steam/apps/550/header.jpg?t=1540300687,https://steamcdn-a.akamaihd.net/steam/apps/550/page_bg_generated_v6b.jpg?t=1540300687,OS: Windows® 7 32/64-bit / Vista 32/64 / XP Processor: Pentium 4 3.0GHz Memory: 2 GB RAM Graphics: Video card with 128 MB, Shader model 2.0. ATI X800, NVidia 6600 or better DirectX: Version 9.0c Storage: 13 GB available space Sound Card: DirectX 9.0c compatible sound card
570,Dota 22,2013-07-09,1,Valve,0,Action;Free to Play;Strategy,0.0,Every day millions of players worldwide enter battle as one of over a hundred Dota heroes.,https://steamcdn-a.akamaihd.net/steam/apps/570/header.jpg?t=1554408611,https://steamcdn-a.akamaihd.net/steam/apps/570/page_bg_generated_v6b.jpg?t=1554408611,OS: Windows 7 or newer Processor: Dual core from Intel or AMD at 2.8 GHz Memory: 4 GB RAM Graphics: nVidia GeForce 8600/9600GT
620,Portal 2,2011-04-18,1,Valve,0,Action;Adventure,7.19,The &quot;Perpetual Testing Initiative&quot; has been expanded to allow you to design co-op puzzles for you and your friends!,https://steamcdn-a.akamaihd.net/steam/apps/620/header.jpg?t=1512411524,https://steamcdn-a.akamaihd.net/steam/apps/620/page_bg_generated_v6b.jpg?t=1512411524,OS: Windows 7 / Vista / XP Processor: 3.0 GHz P4
12120,Grand Theft Auto: San Andreas,2008-01-04,1,Rockstar Games,18,Action,9.99,Five years ago Carl Johnson escaped from the pressures of life in Los Santos San Andreas. Now it's the early 90s. Carl's got to go home.,https://steamcdn-a.akamaihd.net/steam/apps/12120/header.jpg?t=1543431179,https://steamcdn-a.akamaihd.net/steam/apps/12120/page_bg_generated_v6b.jpg?t=1543431179,OS: Microsoft® Windows® 2000/XP (only) Processor: 450MHz AMD / Intel Processor Memory: 96 MB RAM (128 MB RAM or greater recommended) 
13520,Far Cry®,2008-04-01,1,Ubisoft,0,Action,8.59,Your prison ship has crash-landed on the fastest sleekest most dangerous 3D world ever created. ,https://steamcdn-a.akamaihd.net/steam/apps/13500/header.jpg?t=1447351266,https://steamcdn-a.akamaihd.net/steam/apps/13500/page_bg_generated_v6b.jpg?t=1447351266,Supported OS: Windows&reg; XP (only)Processor: 3 GHz Pentium 4 or AMD Athlon 3000 (3.5 GHz Pentium 4 or Athlon 3500 recommended) Memory: 1 GB (2 GB recommended) Graphics: 128 MB DirectX 9.0c-compliant
3590,Plants vs. Zombies GOTY Edition,2009-05-05,1,PopCap Games Inc.,0,Strategy,4.25,Zombies are invading your home and the only defense is your arsenal of plants!,https://steamcdn-a.akamaihd.net/steam/apps/3590/header.jpg?t=1447351772,https://steamcdn-a.akamaihd.net/steam/apps/3590/page_bg_generated_v6b.jpg?t=1447351772,OS: Windows XP/Vista/2000
